Id,ξ1,ξ2,∑Psd_2_ξ2_β1,∑Psd_2_ξ2_β2,∑Psd_2_ξ2_Size,Subclay,Psd_2_θr_α1,Psd_2_θr_α2,θr_Psd,Err_θr_Psd,Nse
1.0,1.69373,0.05102,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.06021,-3.10296063137e7,0.97499
7.0,1.69373,0.05102,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.06021,-1.2657148975638e8,0.96938
13.0,1.69373,0.03018,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.04771,0.41125,0.93502
19.0,1.69373,0.03377,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.0511,0.63194,0.87289
25.0,1.69373,0.13026,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.07831,0.39154,0.72785
31.0,1.69373,0.12546,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.07831,-3.561724367278e7,0.83239
37.0,1.69373,0.03924,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.0543,0.40786,0.97923
43.0,1.69373,0.04914,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.05879,0.78558,0.92911
49.0,1.69373,0.08953,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.0717,0.35848,0.93711
61.0,1.69373,0.07149,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.06686,0.42546,0.73499
67.0,1.69373,0.11212,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.07285,-2.44313939136e6,0.82524
72.0,1.69373,0.04229,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.05733,-6.90986217211e6,0.95808
78.0,1.69373,0.04229,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.0543,-1.542590287998e7,0.89942
84.0,1.69373,0.03924,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.05583,0.40451,0.93746
90.0,1.69373,0.04229,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.0543,0.51764,0.86449
96.0,1.69373,0.05296,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.05733,-52.64774,0.90533
102.0,1.69373,0.05102,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.0616,-1.0644134286106e8,0.89777
108.0,1.69373,0.04559,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.05733,0.68715,0.94994
114.0,1.69373,0.04391,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.05583,-2.7737939372911e8,0.84785
120.0,1.69373,0.05927,0.01373,3.74955,2.0,0.7231,0.9372,0.67402,0.06686,-1.94223602378418e9,0.91284
126.0,1.69371,0.05499,0.01373,3.74943,2.0,0.72309,0.9372,0.67402,0.06296,-1.53859497209e7,0.89093
