Id,θs,θr,Ks,Ψm,σ,θsMacMat_ƞ,σMac,ΨmMac,So,θsMacMat,Φ,θs_Min,θr_Min,Ks_Min,Ψm_Min,σ_Min,θsMacMat_ƞ_Min,σMac_Min,ΨmMac_Min,So_Min,θsMacMat_Min,Φ_Min,θs_Max,θr_Max,Ks_Max,Ψm_Max,σ_Max,θsMacMat_ƞ_Max,σMac_Max,ΨmMac_Max,So_Max,θsMacMat_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ,KunsatModel
1.0,0.6,0.10099,0.01758,13656.34498,2.40646,0.75,0.7675,10.0,0.0,0.45,0.46462,0.3,0.0,0.00752,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.16417,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.87945,0.96828,0.79063,0.00848,0.01556,0.0014,0.0
7.0,0.6,0.0,0.04829,38795.11128,2.75449,0.92135,0.7675,10.0,0.0,0.55281,0.62139,0.3,0.0,0.01785,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.16784,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.91244,0.94913,0.87575,0.01538,0.02833,0.00242,0.0
13.0,0.6,0.11888,0.00247,3113.72716,1.71807,0.75,0.7675,10.0,0.0,0.45,0.43871,0.3,0.0,0.00136,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.11888,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.77646,0.69552,0.85739,0.02231,0.04447,0.00014,0.0
19.0,0.6,0.14966,0.00298,5843.309,2.12349,0.75,0.7675,10.0,0.0,0.45,0.4322,0.3,0.0,0.00125,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.16092,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.93792,0.90048,0.97535,0.01198,0.0239,6.0e-5,0.0
25.0,0.6,0.2,0.07485,6376.68466,2.15261,0.75,0.7675,10.0,0.0,0.45,0.48257,0.3,0.0,0.03352,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.73229,0.63087,0.83371,0.0177,0.03012,0.00529,0.0
31.0,0.6,0.0,0.02919,197429.71541,3.29685,0.81073,0.7675,10.0,0.0,0.48644,0.52839,0.3,0.0,0.00376,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9395,0.91789,0.96111,0.0108,0.02132,0.00028,0.0
37.0,0.6,0.15674,0.00642,2489.40197,1.78915,0.75,0.7675,10.0,0.0,0.45,0.41559,0.3,0.0,0.00313,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.15674,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.66508,0.35199,0.97817,0.02575,0.05138,0.00012,0.0
43.0,0.6,0.1169,0.02811,23076.88058,2.58133,0.7636,0.7675,10.0,0.0,0.45816,0.48311,0.3,0.0,0.00822,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.1918,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.87662,0.99152,0.76172,0.00452,0.00734,0.00169,0.0
49.0,0.6,0.2,0.10021,6671.16735,2.16766,0.99544,0.7675,10.0,0.0,0.59726,0.66955,0.3,0.0,0.09021,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.10021,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.81659,0.94375,0.68943,0.02375,0.0279,0.0196,0.0
61.0,0.6,0.17345,0.05103,4576.41016,2.04203,0.75,0.7675,10.0,0.0,0.45,0.57499,0.3,0.0,0.02589,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.1793,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.89489,0.96974,0.82003,0.00989,0.01556,0.00422,0.0
